DIDI,7.668837904930115
T,7.21621960401535
NU,6.577777117490768
GRAB,5.622521415352821
TAL,5.565404519438744
KEY,5.32914325594902
GGB,5.314772576093674
CSCO,5.17025999724865
ATER,5.030209571123123
JPM,5.02639077603817
CVNA,4.820241034030914
DIS,4.529019445180893
VCIT,4.115461930632591
AGNC,3.2677292823791504
SOFI,3.257281705737114
RF,3.114433027803898
LYG,3.0571209266781807
EQT,3.027985617518425
CTRA,2.724580280482769
GM,2.6414552703499794
SIRI,2.5838639587163925
MPW,2.332587167620659
WFC,2.2201083600521088
LUMN,2.099117822945118
FTI,1.8915526568889616
KMI,1.8591692671179767
TLT,1.5755359083414078
ZNGA,1.547776721417904
CVE,1.522828545421362
TWTR,1.4604673720896244
AUY,1.4381284825503826
PCG,1.3171563856303692
BSX,1.2976844795048237
MGI,1.283275242894888
C,1.1859357357025146
HBAN,1.1649418622255323
ABEV,1.010977290570736
BCS,0.9990866295993328
NOK,0.9583869948983192
MS,0.8985483087599277
XOM,0.8693646639585495
CSX,0.7358049508184195
NCLH,0.5559301935136318
PTON,0.3158303676173091
NLY,0.310805020853877
TLRY,0.2233893377706408
ET,0.1837367191910743
NEM,0.1467298599891364
SLB,0.1010239939205348
M,0.0710128049831837
CMCSA,0.0149303028592839
PACB,0.0027224983568885
CIG,-0.0120826734928414
KO,-0.0165091623784974
AMC,-0.148368370719254
HOOD,-0.197569653391838
VZ,-0.289983139373362
NEE,-0.3541018581017852
BMY,-0.4298650659620762
TSM,-0.5414519924670458
INTC,-0.5783951375633478
WISH,-0.5922583397477865
HAL,-0.6144721060991287
BBBY,-0.6182849872857332
TSLA,-0.7930771447718143
CS,-0.8570903912186623
DAL,-0.891515426337719
BP,-0.9141189977526664
SWN,-0.9759262204170228
JBLU,-1.0689950548112392
MSFT,-1.1151937767863274
SNAP,-1.4091544784605503
MOS,-1.855223998427391
PLTR,-1.8798619508743288
BBIG,-2.125074528157711
UAL,-2.149251662194729
CCL,-2.378869242966175
INFY,-2.4267490953207016
GEVO,-2.5429407134652138
MU,-2.64414381235838
PFE,-2.916780859231949
AAL,-3.0678877606987958
KGC,-3.0890513211488724
AAPL,-3.2361574470996857
HL,-3.255058079957962
BEKE,-3.418052941560745
UBER,-3.649254143238068
BABA,-3.688447549939156
ICLN,-3.80946509540081
OXY,-3.9389383047819138
NIO,-4.195694997906685
OPEN,-4.282945767045021
ACC,-4.467451944947243
KOS,-4.491245746612549
SKLZ,-4.496756196022034
VRM,-4.532972723245621
X,-4.693072289228439
AMD,-4.858255386352539
TME,-4.875277727842331
SBUX,-4.902847483754158
SRNE,-5.1932647824287415
FB,-5.255656689405441
MRO,-5.363762006163597
SQQQ,-5.413882061839104
PBR,-5.51580935716629
FCX,-5.55407702922821
IQ,-5.86957149207592
VIPS,-5.988851189613342
F,-6.042350456118584
SCHW,-6.060181185603142
PINS,-6.469710171222687
BKR,-6.69047012925148
CVX,-7.292744517326355
VALE,-7.766459137201309
PLUG,-8.23836401104927
AA,-8.869624137878418
PDD,-8.933884650468826
BAC,-9.557343274354936
JD,-9.568575024604796
FCEL,-10.15097126364708
QQQ,-10.19492894411087
SQ,-10.207714885473251
FUBO,-10.312449187040327
LCID,-10.352343320846558
AEO,-11.087705194950104
SID,-11.341919749975204
DKNG,-11.757444590330124
TQQQ,-11.819100379943848
RBLX,-12.224235385656357
ARVL,-14.129026234149933
RUN,-14.136362075805664
NFLX,-15.257342159748076
PYPL,-15.391293168067932
FTCH,-15.536284446716309
NVDA,-15.764474868774414
GPS,-23.040981590747837
CLF,-26.74570381641388
